(0.05, [(-3.25, 124.30238342285156, 4.71238899230957, 13.88888931274414), (3.25, -74.30287069744534, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.1, [(-3.25, 123.60836791992188, 4.71238899230957, 13.88888931274414), (3.25, -73.60743681589763, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.15, [(-3.25, 122.91404724121094, 4.71238899230957, 13.88888931274414), (3.25, -72.913658618927, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.2, [(-3.25, 122.21544647216797, 4.71238899230957, 13.88888931274414), (3.25, -72.21957356841476, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.25, [(-3.25, 121.52496337890625, 4.71238899230957, 13.88888931274414), (3.25, -71.52523243868792, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.3, [(-3.25, 120.8307113647461, 4.71238899230957, 13.88888931274414), (3.25, -70.83075885419493, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.35, [(-3.25, 120.13639831542969, 4.71238899230957, 13.88888931274414), (3.25, -70.13629630759911, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.4, [(-3.25, 119.4417495727539, 4.71238899230957, 13.88888931274414), (3.25, -69.44191764902186, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.45, [(-3.25, 118.74734497070312, 4.71238899230957, 13.88888931274414), (3.25, -68.74733368555705, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.5, [(-3.25, 118.05292510986328, 4.71238899230957, 13.88888931274414), (3.25, -68.05294398908262, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.55, [(-3.25, 117.3583755493164, 4.71238899230957, 13.88888931274414), (3.25, -67.35843508331864, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.6, [(-3.25, 116.66381072998047, 4.71238899230957, 13.88888931274414), (3.25, -66.6640939535918, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.7, [(-3.25, 115.27509307861328, 4.71238899230957, 13.88888931274414), (3.25, -65.27515782250298, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.75, [(-3.25, 114.58070373535156, 4.71238899230957, 13.88888931274414), (3.25, -64.58077916392573, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.8, [(-3.25, 113.88555145263672, 4.71238899230957, 13.88888931274414), (3.25, -63.886250389946824, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.85, [(-3.25, 113.19143676757812, 4.71238899230957, 13.88888931274414), (3.25, -63.19181433430423, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(0.9, [(-3.25, 112.49708557128906, 4.71238899230957, 13.88888931274414), (3.25, -62.497453336362476, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.0, [(-3.25, 111.10820007324219, 4.71238899230957, 13.88888931274414), (3.25, -61.104435390896256, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.05, [(-3.25, 110.41407012939453, 4.71238899230957, 13.88888931274414), (3.25, -60.29850995099102, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
(1.1, [(-3.25, 109.71944427490234, 4.71238899230957, 13.88888931274414), (3.25, -59.68154668807982, 1.5707963267948966, 13.88888888888889)], (1, 'left', 'stop'))
